[2025-11-10T07:36:54.133Z] --- بدء التحويل ---
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-gardens.json → /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-gardens/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-village.json → /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-village/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-heights.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-heights/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-islands.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-islands/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-lake-towers.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-lake-towers/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-park.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-park/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-circle.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-circle/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-triangle.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-triangle/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/lagoon-views.json → /workspaces/imgv3/public/data/nakheel/projects/lagoon-views/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/marina-residences.json → /workspaces/imgv3/public/data/nakheel/projects/marina-residences/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/masakin-al-furjan.json → /workspaces/imgv3/public/data/nakheel/projects/masakin-al-furjan/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/meydan.json → /workspaces/imgv3/public/data/nakheel/projects/meydan/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/murooj-al-furjan.json → /workspaces/imgv3/public/data/nakheel/projects/murooj-al-furjan/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-gardens.json → /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-gardens/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-villas.json → /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-villas/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/naya-phase-2.json → /workspaces/imgv3/public/data/nakheel/projects/naya-phase-2/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/naya-phase-3.json → /workspaces/imgv3/public/data/nakheel/projects/naya-phase-3/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-beach-towers.json → /workspaces/imgv3/public/data/nakheel/projects/palm-beach-towers/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-central-private-residences.json → /workspaces/imgv3/public/data/nakheel/projects/palm-central-private-residences/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-jebel-ali.json → /workspaces/imgv3/public/data/nakheel/projects/palm-jebel-ali/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-jumeirah.json → /workspaces/imgv3/public/data/nakheel/projects/palm-jumeirah/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-views.json → /workspaces/imgv3/public/data/nakheel/projects/palm-views/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palma-residences.json → /workspaces/imgv3/public/data/nakheel/projects/palma-residences/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/paradise-one.json → /workspaces/imgv3/public/data/nakheel/projects/paradise-one/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/rixos-at-dubai-islands.json → /workspaces/imgv3/public/data/nakheel/projects/rixos-at-dubai-islands/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/rixos-beach-residences-phase-2.json → /workspaces/imgv3/public/data/nakheel/projects/rixos-beach-residences-phase-2/index.json
[2025-11-10T07:36:54.163Z] نقل /workspaces/imgv3/public/data/nakheel/projects/rixos-hotel-residences.json → /workspaces/imgv3/public/data/nakheel/projects/rixos-hotel-residences/index.json
[2025-11-10T07:36:54.163Z] نقل /workspaces/imgv3/public/data/nakheel/projects/rixos-hotel-resorts.json → /workspaces/imgv3/public/data/nakheel/projects/rixos-hotel-resorts/index.json
[2025-11-10T07:36:54.164Z] نقل /workspaces/imgv3/public/data/nakheel/projects/seaview-residences.json → /workspaces/imgv3/public/data/nakheel/projects/seaview-residences/index.json
[2025-11-10T07:36:54.164Z] نقل /workspaces/imgv3/public/data/nakheel/projects/shoreline-apartments.json → /workspaces/imgv3/public/data/nakheel/projects/shoreline-apartments/index.json
[2025-11-10T07:36:54.164Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-beach-collection-villas.json → /workspaces/imgv3/public/data/nakheel/projects/the-beach-collection-villas/index.json
[2025-11-10T07:36:54.164Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-coral-collection-villas.json → /workspaces/imgv3/public/data/nakheel/projects/the-coral-collection-villas/index.json
[2025-11-10T07:36:54.164Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-gardens.json → /workspaces/imgv3/public/data/nakheel/projects/the-gardens/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-palm-tower.json → /workspaces/imgv3/public/data/nakheel/projects/the-palm-tower/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-pointe.json → /workspaces/imgv3/public/data/nakheel/projects/the-pointe/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-world-island.json → /workspaces/imgv3/public/data/nakheel/projects/the-world-island/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-world-islands.json → /workspaces/imgv3/public/data/nakheel/projects/the-world-islands/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/the-world.json → /workspaces/imgv3/public/data/nakheel/projects/the-world/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/tilal-al-furjan.json → /workspaces/imgv3/public/data/nakheel/projects/tilal-al-furjan/index.json
[2025-11-10T07:36:54.165Z] نقل /workspaces/imgv3/public/data/nakheel/projects/veneto.json → /workspaces/imgv3/public/data/nakheel/projects/veneto/index.json
[2025-11-10T07:36:54.167Z] نقل /workspaces/imgv3/public/data/nakheel/projects/village-homes.json → /workspaces/imgv3/public/data/nakheel/projects/village-homes/index.json
[2025-11-10T07:36:54.167Z] نقل /workspaces/imgv3/public/data/nakheel/projects/warsan-village.json → /workspaces/imgv3/public/data/nakheel/projects/warsan-village/index.json
[2025-11-10T07:36:54.167Z] نقل /workspaces/imgv3/public/data/sobha/projects/310-riverside-crescent.json → /workspaces/imgv3/public/data/sobha/projects/310-riverside-crescent/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/320-riverside-crescent.json → /workspaces/imgv3/public/data/sobha/projects/320-riverside-crescent/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/330-riverside-crescent.json → /workspaces/imgv3/public/data/sobha/projects/330-riverside-crescent/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/340-riverside-crescent.json → /workspaces/imgv3/public/data/sobha/projects/340-riverside-crescent/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/350-riverside-crescent.json → /workspaces/imgv3/public/data/sobha/projects/350-riverside-crescent/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/360-riverside-crescent.json → /workspaces/imgv3/public/data/sobha/projects/360-riverside-crescent/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/aquamarine-residences.json → /workspaces/imgv3/public/data/sobha/projects/aquamarine-residences/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/aura.json → /workspaces/imgv3/public/data/sobha/projects/aura/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/avenue.json → /workspaces/imgv3/public/data/sobha/projects/avenue/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/bayfront-marina-residences.json → /workspaces/imgv3/public/data/sobha/projects/bayfront-marina-residences/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/bayside-marina-residences.json → /workspaces/imgv3/public/data/sobha/projects/bayside-marina-residences/index.json
[2025-11-10T07:36:54.168Z] نقل /workspaces/imgv3/public/data/sobha/projects/canalside-marina-residences.json → /workspaces/imgv3/public/data/sobha/projects/canalside-marina-residences/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/coral-beach-villas.json → /workspaces/imgv3/public/data/sobha/projects/coral-beach-villas/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/creek-vistas-grande.json → /workspaces/imgv3/public/data/sobha/projects/creek-vistas-grande/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/creek-vistas-heights.json → /workspaces/imgv3/public/data/sobha/projects/creek-vistas-heights/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/creek-vistas-reserve.json → /workspaces/imgv3/public/data/sobha/projects/creek-vistas-reserve/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/creek-vistas.json → /workspaces/imgv3/public/data/sobha/projects/creek-vistas/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/crest-grande.json → /workspaces/imgv3/public/data/sobha/projects/crest-grande/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/delphine-beach-residences.json → /workspaces/imgv3/public/data/sobha/projects/delphine-beach-residences/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/downtown-uaq-sobha-realty.json → /workspaces/imgv3/public/data/sobha/projects/downtown-uaq-sobha-realty/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/florine-beach-residences.json → /workspaces/imgv3/public/data/sobha/projects/florine-beach-residences/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/forest-villas.json → /workspaces/imgv3/public/data/sobha/projects/forest-villas/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/garden-house.json → /workspaces/imgv3/public/data/sobha/projects/garden-house/index.json
[2025-11-10T07:36:54.169Z] نقل /workspaces/imgv3/public/data/sobha/projects/gardenia-villas.json → /workspaces/imgv3/public/data/sobha/projects/gardenia-villas/index.json
[2025-11-10T07:36:54.170Z] نقل /workspaces/imgv3/public/data/sobha/projects/golf-ridges-at-sobha-one.json → /workspaces/imgv3/public/data/sobha/projects/golf-ridges-at-sobha-one/index.json
[2025-11-10T07:36:54.170Z] نقل /workspaces/imgv3/public/data/sobha/projects/golf-ridges.json → /workspaces/imgv3/public/data/sobha/projects/golf-ridges/index.json
[2025-11-10T07:36:54.170Z] نقل /workspaces/imgv3/public/data/sobha/projects/hartland-2-villas.json → /workspaces/imgv3/public/data/sobha/projects/hartland-2-villas/index.json
[2025-11-10T07:36:54.170Z] نقل /workspaces/imgv3/public/data/sobha/projects/hartland-estates.json → /workspaces/imgv3/public/data/sobha/projects/hartland-estates/index.json
[2025-11-10T07:36:54.170Z] نقل /workspaces/imgv3/public/data/sobha/projects/hartland-greens-apartment.json → /workspaces/imgv3/public/data/sobha/projects/hartland-greens-apartment/index.json
[2025-11-10T07:36:54.170Z] نقل /workspaces/imgv3/public/data/sobha/projects/hartland-quad-homes.json → /workspaces/imgv3/public/data/sobha/projects/hartland-quad-homes/index.json
[2025-11-10T07:36:54.172Z] نقل /workspaces/imgv3/public/data/sobha/projects/hartland-waterfront-villas.json → /workspaces/imgv3/public/data/sobha/projects/hartland-waterfront-villas/index.json
[2025-11-10T07:36:54.172Z] نقل /workspaces/imgv3/public/data/sobha/projects/one-park-avenue.json → /workspaces/imgv3/public/data/sobha/projects/one-park-avenue/index.json
[2025-11-10T07:36:54.172Z] نقل /workspaces/imgv3/public/data/sobha/projects/palm-grove-villas.json → /workspaces/imgv3/public/data/sobha/projects/palm-grove-villas/index.json
[2025-11-10T07:36:54.172Z] نقل /workspaces/imgv3/public/data/sobha/projects/pearlside-marina-residence.json → /workspaces/imgv3/public/data/sobha/projects/pearlside-marina-residence/index.json
[2025-11-10T07:36:54.172Z] نقل /workspaces/imgv3/public/data/sobha/projects/pearlside-marina-residences.json → /workspaces/imgv3/public/data/sobha/projects/pearlside-marina-residences/index.json
[2025-11-10T07:36:54.172Z] نقل /workspaces/imgv3/public/data/sobha/projects/pierside-marina-residences.json → /workspaces/imgv3/public/data/sobha/projects/pierside-marina-residences/index.json
[2025-11-10T07:36:54.173Z] نقل /workspaces/imgv3/public/data/sobha/projects/pristine-beach-residences.json → /workspaces/imgv3/public/data/sobha/projects/pristine-beach-residences/index.json
[2025-11-10T07:36:54.173Z] نقل /workspaces/imgv3/public/data/sobha/projects/serene.json → /workspaces/imgv3/public/data/sobha/projects/serene/index.json
[2025-11-10T07:36:54.173Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyscape-altius.json → /workspaces/imgv3/public/data/sobha/projects/skyscape-altius/index.json
[2025-11-10T07:36:54.173Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyscape-aura.json → /workspaces/imgv3/public/data/sobha/projects/skyscape-aura/index.json
[2025-11-10T07:36:54.173Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyscape-avenue.json → /workspaces/imgv3/public/data/sobha/projects/skyscape-avenue/index.json
[2025-11-10T07:36:54.173Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyvue-solair.json → /workspaces/imgv3/public/data/sobha/projects/skyvue-solair/index.json
[2025-11-10T07:36:54.174Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyvue-spectra.json → /workspaces/imgv3/public/data/sobha/projects/skyvue-spectra/index.json
[2025-11-10T07:36:54.174Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyvue-stellar.json → /workspaces/imgv3/public/data/sobha/projects/skyvue-stellar/index.json
[2025-11-10T07:36:54.174Z] نقل /workspaces/imgv3/public/data/sobha/projects/skyvue.json → /workspaces/imgv3/public/data/sobha/projects/skyvue/index.json
[2025-11-10T07:36:54.174Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-aquacrest.json → /workspaces/imgv3/public/data/sobha/projects/sobha-aquacrest/index.json
[2025-11-10T07:36:54.174Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-aquamont.json → /workspaces/imgv3/public/data/sobha/projects/sobha-aquamont/index.json
[2025-11-10T07:36:54.174Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-central.json → /workspaces/imgv3/public/data/sobha/projects/sobha-central/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-creek-vistas.json → /workspaces/imgv3/public/data/sobha/projects/sobha-creek-vistas/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-elwood.json → /workspaces/imgv3/public/data/sobha/projects/sobha-elwood/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-estates.json → /workspaces/imgv3/public/data/sobha/projects/sobha-estates/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-garden-houses.json → /workspaces/imgv3/public/data/sobha/projects/sobha-garden-houses/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-gardenia-villas.json → /workspaces/imgv3/public/data/sobha/projects/sobha-gardenia-villas/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-forest-villas.json → /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-forest-villas/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-greens.json → /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-greens/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-ii.json → /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-ii/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-townhouses.json → /workspaces/imgv3/public/data/sobha/projects/sobha-hartland-townhouses/index.json
[2025-11-10T07:36:54.175Z] نقل /workspaces/imgv3/public/data/sobha/projects/sobha-hartland.json → /workspaces/imgv3/public/data/sobha/projects/sobha-hartland/index.json
